종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2019
323280,신영스팩5호 ,2070,-5,-0.24,,,,,0,0,,
323940,케이비제18호스팩 ,2045,5,0.25,,,,,0,0,,
328380,미래에셋대우스팩3호 ,2040,0,0,,,,,0,0,,
329560,상상인이안제2호스팩 ,2030,0,0,,,,,0,0,,
330990,케이비제19호스팩 ,2030,-5,-0.25,,,,,0,0,,
331380,유진스팩5호 ,2030,0,0,,,,,0,0,,
331520,교보9호스팩 ,2020,-5,-0.25,,,,,0,0,,
332290,대신밸런스제7호스팩 ,2015,-5,-0.25,,,,,0,0,,
332710,하나금융14호스팩 ,2005,0,0,,,,,0,0,,
333050,신한제6호스팩 ,2010,5,0.25,,,,,0,0,,
333430,미래에셋대우스팩4호 ,2005,0,0,,,,,0,0,,
336260,두산퓨얼셀 ,7300,60,0.83,,,,,0,0,,
336370,두산솔루스 ,19250,150,0.79,,,,,0,0,,
00088K,한화3우B ,13950,-50,-0.36,,,,,595,4.27,,
00104K,CJ4우(전환) ,65000,-1200,-1.81,,,,,0,0,,
00499K,롯데지주우 ,48650,-600,-1.22,,,,,850,1.75,,
00680K,미래에셋대우2우B ,4240,-85,-1.97,,,,,220,5.19,,
00781K,코리아써키트2우B ,4510,55,1.23,,,,,0,0,,
00806K,대덕전자1우 ,6320,20,0.32,,,,,305,4.83,,
